IMPECT_PlayerID,IMPECT_Name,IMPECT_FirstName,IMPECT_LastName,IMPECT_Team,IMPECT_Competition,IMPECT_Country,IMPECT_Season,Wyscout_Name,Wyscout_Team,Wyscout_Position,Wyscout_Age,Wyscout_File,MatchConfidence,LastNameMatchScore,TeamMatchScore,InitialMatch
20494,Radovan Pankov,Radovan,Pankov,Legia Warschau,PKO BP Ekstraklasa,Poland,25/26,R. Pankov,Legia Warszawa,"LCB, RCB",30.0,Poland.xlsx,HIGH,100,78.57142857142857,True
13243,Radu Boboc,Radu,Boboc,Bruk-Bet Termalica Nieciecza,PKO BP Ekstraklasa,Poland,25/26,R. Boboc,Nieciecza,"RWB, RB",27.0,Poland.xlsx,HIGH,100,100.0,True
47865,Rafal Augustyniak,Rafal,Augustyniak,Legia Warschau,PKO BP Ekstraklasa,Poland,25/26,R. Augustyniak,Legia Warszawa,"CB, DMF",32.0,Poland.xlsx,HIGH,100,78.57142857142857,True
35082,Rafal Janicki,Rafal,Janicki,Górnik Zabrze,PKO BP Ekstraklasa,Poland,25/26,R. Janicki,Górnik Zabrze,RCB,33.0,Poland.xlsx,HIGH,100,100.0,True
66885,Rafal Straczek,Rafal,Straczek,GKS Katowice,PKO BP Ekstraklasa,Poland,25/26,R. Strączek,Katowice,GK,27.0,Poland.xlsx,HIGH,100,100.0,True
30549,Rafal Wolski,Rafal,Wolski,Radomiak Radom,PKO BP Ekstraklasa,Poland,25/26,R. Wolski,Radomiak Radom,"AMF, LCMF",33.0,Poland.xlsx,HIGH,100,100.0,True
32040,Rafał Kurzawa,Rafał,Kurzawa,Bruk-Bet Termalica Nieciecza,PKO BP Ekstraklasa,Poland,25/26,R. Kurzawa,Nieciecza,"RWF, RCMF, RW",33.0,Poland.xlsx,HIGH,100,100.0,True
37748,Rafał Leszczyński,Rafał,Leszczyński,Wisla Plock,PKO BP Ekstraklasa,Poland,25/26,R. Leszczyński,Wisła Płock,GK,34.0,Poland.xlsx,HIGH,100,90.0,True
49878,Rajmund Molnár,Rajmund,Molnár,Pogoń Szczecin,PKO BP Ekstraklasa,Poland,25/26,R. Molnár,Pogoń Szczecin,CF,23.0,Poland.xlsx,HIGH,100,100.0,True
23039,Renat Dadashov,Renat,Dadashov,Motor Lublin,PKO BP Ekstraklasa,Poland,25/26,R. Dadashov,Motor Lublin,CF,27.0,Poland.xlsx,HIGH,100,100.0,True
83298,Ricardo Visus,Ricardo,Visus,Widzew Łódź,PKO BP Ekstraklasa,Poland,25/26,Ricardo Visus,Widzew Łódź,"LCB, RCB",25.0,Poland.xlsx,HIGH,100,100.0,True
33523,Rifet Kapic,Rifet,Kapic,Lechia Gdansk,PKO BP Ekstraklasa,Poland,25/26,R. Kapič,Lechia Gdańsk,"RDMF, RCMF",30.0,Poland.xlsx,HIGH,100,100.0,True
4255,Robert Gumny,Robert,Gumny,Lech Posen,PKO BP Ekstraklasa,Poland,25/26,R. Gumny,Lech Poznań,"RB, RCB",27.0,Poland.xlsx,HIGH,100,76.19047619047619,True
30671,Roberto Alves,Roberto,Alves,Radomiak Radom,PKO BP Ekstraklasa,Poland,25/26,Roberto Alves,Radomiak Radom,"RCMF, RDMF",28.0,Poland.xlsx,HIGH,100,100.0,True
33056,Roberto Massimo,Roberto,Massimo,Górnik Zabrze,PKO BP Ekstraklasa,Poland,25/26,R. Massimo,Górnik Zabrze,"RWF, CF, LWF",25.0,Poland.xlsx,HIGH,100,100.0,True
45954,Roman Yakuba,Roman,Yakuba,Zaglebie Lubin,PKO BP Ekstraklasa,Poland,25/26,R. Yakuba,Zagłębie Lubin,"LCB, LB",25.0,Poland.xlsx,HIGH,100,96.29629629629629,True
6027,Romário Baró,Romário,Baró,Radomiak Radom,PKO BP Ekstraklasa,Poland,25/26,Romário Baró,Radomiak Radom,"RCMF, RDMF",26.0,Poland.xlsx,HIGH,100,100.0,True
57073,Ryoya Morishita,Ryoya,Morishita,Legia Warschau,PKO BP Ekstraklasa,Poland,25/26,R. Morishita,Blackburn Rovers,"RCMF, LW, LCMF",28.0,Poland.xlsx,LOW,100,33.33333333333333,True
15712,Rúben Vinagre,Rúben,Vinagre,Legia Warschau,PKO BP Ekstraklasa,Poland,25/26,Rúben Vinagre,Legia Warszawa,"LB, LWB",27.0,Poland.xlsx,HIGH,100,78.57142857142857,True
49707,Sam Greenwood,Sam,Greenwood,Pogoń Szczecin,PKO BP Ekstraklasa,Poland,25/26,S. Greenwood,Pogoń Szczecin,"LW, AMF, LCMF",24.0,Poland.xlsx,HIGH,100,100.0,True
240917,Samuel Akere,Samuel,Akere,Widzew Łódź,PKO BP Ekstraklasa,Poland,25/26,S. Akere,Osijek,"RW, RWF",22.0,Poland.xlsx,LOW,100,37.5,True
4827,Samuel Kozlovský,Samuel,Kozlovský,Widzew Łódź,PKO BP Ekstraklasa,Poland,25/26,S. Kozlovský,Widzew Łódź,"LB, LWB",26.0,Poland.xlsx,HIGH,100,100.0,True
43948,Sebastian Bergier,Sebastian,Bergier,Widzew Łódź,PKO BP Ekstraklasa,Poland,25/26,S. Bergier,Widzew Łódź,CF,26.0,Poland.xlsx,HIGH,100,100.0,True
965,Sebastian Kerk,Sebastian,Kerk,Arka Gdynia,PKO BP Ekstraklasa,Poland,25/26,S. Kerk,Arka Gdynia,"LWF, AMF, RCMF",32.0,Poland.xlsx,HIGH,100,100.0,True
140096,Sebastian Madejski,Sebastian,Madejski,Cracovia,PKO BP Ekstraklasa,Poland,25/26,S. Madejski,Cracovia Kraków,GK,29.0,Poland.xlsx,HIGH,100,100.0,True
3976,Sebastian Milewski,Sebastian,Milewski,GKS Katowice,PKO BP Ekstraklasa,Poland,25/26,S. Milewski,Katowice,"LCMF, RCMF",28.0,Poland.xlsx,HIGH,100,100.0,True
7293,Sergi Samper,Sergi,Samper,Motor Lublin,PKO BP Ekstraklasa,Poland,25/26,Sergi Samper,Motor Lublin,DMF,31.0,Poland.xlsx,HIGH,100,100.0,True
67312,Sergio Guerrero,Sergio,Guerrero,Bruk-Bet Termalica Nieciecza,PKO BP Ekstraklasa,Poland,25/26,Sergio Guerrero,Nieciecza,"RCMF, LCMF, DMF",27.0,Poland.xlsx,HIGH,100,100.0,True
41319,Sergio Lozano,Sergio,Lozano,Jagiellonia Bialystok,PKO BP Ekstraklasa,Poland,25/26,Sergio Lozano,Jagiellonia Białystok,"LDMF, LCMF, AMF",27.0,Poland.xlsx,HIGH,100,97.5609756097561,True
105010,Slawomir Abramowicz,Slawomir,Abramowicz,Jagiellonia Bialystok,PKO BP Ekstraklasa,Poland,25/26,S. Abramowicz,Jagiellonia Białystok,GK,21.0,Poland.xlsx,HIGH,100,97.5609756097561,True
66725,Sondre Liseth,Sondre,Liseth,Górnik Zabrze,PKO BP Ekstraklasa,Poland,25/26,S. Liseth,Górnik Zabrze,CF,28.0,Poland.xlsx,HIGH,100,100.0,True
79641,Stelios Andreou,Stelios,Andreou,Widzew Łódź,PKO BP Ekstraklasa,Poland,25/26,S. Andreou,Widzew Łódź,"RCB, RB",23.0,Poland.xlsx,HIGH,100,100.0,True
97056,Steve Kapuadi,Steve,Kapuadi,Legia Warschau,PKO BP Ekstraklasa,Poland,25/26,S. Kapuadi,Widzew Łódź,LCB,28.0,Poland.xlsx,LOW,100,16.66666666666667,True
96008,Steve Kingue,Steve,Kingue,Radomiak Radom,PKO BP Ekstraklasa,Poland,25/26,S. Kingue,Radomiak Radom,RCB,26.0,Poland.xlsx,HIGH,100,100.0,True
168136,Stjepan Davidovic,Stjepan,Davidovic,Korona Kielce,PKO BP Ekstraklasa,Poland,25/26,S. Davidović,Korona Kielce,"RWF, AMF, RW",21.0,Poland.xlsx,HIGH,100,100.0,True
20156,Stratos Svarnas,Stratos,Svarnas,Rakow Czestochowa,PKO BP Ekstraklasa,Poland,25/26,S. Svarnas,Raków Częstochowa,LCB,28.0,Poland.xlsx,HIGH,100,100.0,True
122606,Szczepan Mucha,Szczepan,Mucha,Piast Gliwice,PKO BP Ekstraklasa,Poland,25/26,S. Mucha,Piast Gliwice,"LCMF, RAMF, RWF",22.0,Poland.xlsx,HIGH,100,100.0,True
31801,Szymon Czyz,Szymon,Czyz,Widzew Łódź,PKO BP Ekstraklasa,Poland,25/26,S. Czyż,Widzew Łódź,"DMF, LCMF",24.0,Poland.xlsx,HIGH,100,100.0,True
66974,Szymon Sobczak,Szymon,Sobczak,Arka Gdynia,PKO BP Ekstraklasa,Poland,25/26,S. Sobczak,Zagłębie Sosnowiec,CF,33.0,Poland.xlsx,LOW,100,21.42857142857143,True
103210,Szymon Weirauch,Szymon,Weirauch,Lechia Gdansk,PKO BP Ekstraklasa,Poland,25/26,S. Weirauch,Lechia Gdańsk,GK,22.0,Poland.xlsx,HIGH,100,100.0,True
30803,Tamar Svetlin,Tamar,Svetlin,Korona Kielce,PKO BP Ekstraklasa,Poland,25/26,T. Svetlin,Korona Kielce,"RCMF, LCMF, DMF",24.0,Poland.xlsx,HIGH,100,100.0,True
113551,Taofeek Ismaheel,Taofeek,Ismaheel,Lech Posen,PKO BP Ekstraklasa,Poland,25/26,T. Ajibade Ismaheel,Lech Poznań,"RW, RWF",25.0,Poland.xlsx,HIGH,100,76.19047619047619,True
33593,Taras Romanczuk,Taras,Romanczuk,Jagiellonia Bialystok,PKO BP Ekstraklasa,Poland,25/26,T. Romanczuk,Jagiellonia Białystok,"RDMF, DMF, RCMF",34.0,Poland.xlsx,HIGH,100,97.5609756097561,True
26961,Theodoros Tsirigotis,Theodoros,Tsirigotis,Górnik Zabrze,PKO BP Ekstraklasa,Poland,25/26,T. Tsirigotis,Polonia Bytom,CF,25.0,Poland.xlsx,LOW,100,30.769230769230774,True
119246,Timothy Ouma,Timothy,Ouma,Lech Posen,PKO BP Ekstraklasa,Poland,25/26,T. Ouma,Lech Poznań,"RCMF, RDMF, LCMF",21.0,Poland.xlsx,HIGH,100,76.19047619047619,True
54793,Tomas Bobcek,Tomas,Bobcek,Lechia Gdansk,PKO BP Ekstraklasa,Poland,25/26,T. Bobček,Lechia Gdańsk,CF,24.0,Poland.xlsx,HIGH,100,100.0,True
4220,Tomasz Makowski,Tomasz,Makowski,Zaglebie Lubin,PKO BP Ekstraklasa,Poland,25/26,T. Makowski,Zagłębie Lubin,"LCMF, RCMF, DMF",26.0,Poland.xlsx,HIGH,100,96.29629629629629,True
36274,Tomasz Mokwa,Tomasz,Mokwa,Piast Gliwice,PKO BP Ekstraklasa,Poland,25/26,T. Mokwa,Piast Gliwice,"RB, LB",33.0,Poland.xlsx,HIGH,100,100.0,True
112404,Tomasz Neugebauer,Tomasz,Neugebauer,Lechia Gdansk,PKO BP Ekstraklasa,Poland,25/26,T. Neugebauer,Lechia Gdańsk,"AMF, CF, LDMF",23.0,Poland.xlsx,HIGH,100,100.0,True
95050,Tomasz Pieńko,Tomasz,Pieńko,Zaglebie Lubin,PKO BP Ekstraklasa,Poland,25/26,T. Pieńko,Raków Częstochowa,"LWF, AMF, RWB",22.0,Poland.xlsx,LOW,100,12.903225806451616,True
137451,Tomasz Wojtowicz,Tomasz,Wojtowicz,Lechia Gdansk,PKO BP Ekstraklasa,Poland,25/26,T. Wójtowicz,Lechia Gdańsk,RB,22.0,Poland.xlsx,HIGH,100,100.0,True
31579,Tomás Tavares,Tomás,Tavares,Wisla Plock,PKO BP Ekstraklasa,Poland,25/26,T. Tavares,Wisła Płock,"DMF, RCMF",25.0,Poland.xlsx,HIGH,100,90.0,True
29078,Tonio Teklic,Tonio,Teklic,Widzew Łódź,PKO BP Ekstraklasa,Poland,25/26,T. Teklić,Osijek,"DMF, RW, RCMF",26.0,Poland.xlsx,LOW,100,37.5,True
